Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),HS_Code,critical_mineral,CategoryType
76 Aluminum And Articles Thereof,Philippines,2025,3993123,3909793.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Mongolia,2018,13288,13288.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2013,32817526,32804740.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2011,2230609,1924329.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Hong Kong,2025,4567815,4517419.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Asia - South,2018,698378361,674091244.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,"Korea, South",2014,212042530,209840949.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Asia - South,2019,642102972,660612308.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Taiwan,2024,215782544,213981979.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2018,83963562,84213915.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Hong Kong,2020,13046512,12863303.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Hong Kong,2016,37638211,37577622.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Japan,2017,285735579,203036856.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Asia - South,2014,161734610,161179687.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Cambodia,2020,8514931,8514931.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2024,18932396692,18848177070.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Asia - South,2022,1123910803,1009181506.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Asia - South,2015,225232499,224860715.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Japan,2015,258416274,180760747.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Taiwan,2011,124340102,123542299.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2020,111145441,111499081.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Japan,2019,282772717,245066473.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Asia - South,2020,392775934,389738498.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2006,170842404,170780234.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2002,166092500,165914972.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Taiwan,2017,225066699,224660367.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2021,1318457718,1309606073.0,76,Aluminum,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2008,100887748,100887748.0,76,Aluminum,Refined/Articles
