Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),CategoryType
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,2008,914773,914773.0,Refined/Articles
"3910 Silicones, In Primary Forms",Malaysia,2009,50030,50030.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Singapore,2008,665849,665849.0,Refined/Articles
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Indonesia,2001,22775,,Other
"3910 Silicones, In Primary Forms",Philippines,2008,252,252.0,Other
"3910 Silicones, In Primary Forms",Thailand,2010,27474943,26660260.0,Other
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Thailand,2007,278051,278051.0,Other
"3910 Silicones, In Primary Forms",Thailand,2009,21284523,21050706.0,Other
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Malaysia,2008,10944,10944.0,Compound
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Malaysia,2002,8500,8500.0,Other
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,2010,633183,633183.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Malaysia,2009,72687,72687.0,Refined/Articles
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Singapore,2010,524567,524567.0,Refined/Articles
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,2002,113741,113741.0,Refined/Articles
"3910 Silicones, In Primary Forms",Philippines,2001,3141,,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2007,219651,219651.0,Refined/Articles
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Thailand,2009,81057,81057.0,Refined/Articles
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Singapore,2003,2340,2340.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,2009,391748,391748.0,Refined/Articles
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2009,527447,527447.0,Refined/Articles
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Thailand,2004,7539,7539.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2005,265177,265177.0,Refined/Articles
"3910 Silicones, In Primary Forms",Singapore,2004,18331,18331.0,Other
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Indonesia,2006,64400,64400.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Singapore,2005,1721963,1721963.0,Refined/Articles
"3910 Silicones, In Primary Forms",Thailand,2008,30558230,30558230.0,Other
"3910 Silicones, In Primary Forms",Malaysia,2010,9348,9348.0,Other
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,2005,31389,31389.0,Other
8110 Antimony And Artcls Throf Incl Waste And Scrap,Vietnam,2010,632961,632961.0,Other
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,2007,188927,188927.0,Other
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Singapore,2006,6000,6000.0,Other
2614 Titanium Ores And Concentrates,Malaysia,2001,6557518,,Ore/Raw
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Malaysia,2010,20076,20076.0,Refined/Articles
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,2001,33710,,Refined/Articles
"2801 Fluorine, Chlorine, Bromine & Iodine",Thailand,2001,20100,,Other
"3910 Silicones, In Primary Forms",Indonesia,2004,4874,4874.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,2007,3556303,3556303.0,Refined/Articles
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Vietnam,2007,3357,3357.0,Refined/Articles
"3910 Silicones, In Primary Forms",Malaysia,2008,280585,280585.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Philippines,2004,31833,31833.0,Refined/Articles
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Malaysia,2010,134434,134434.0,Other
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Philippines,2010,3576,3576.0,Other
"3910 Silicones, In Primary Forms",Malaysia,2004,575,575.0,Other
"3910 Silicones, In Primary Forms",Singapore,2009,269537,269537.0,Other
"3910 Silicones, In Primary Forms",Singapore,2010,27918,25643.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Indonesia,2009,24203,24203.0,Refined/Articles
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Thailand,2006,57669,57669.0,Other
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Thailand,2008,135002,135002.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2004,168493,168493.0,Refined/Articles
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Singapore,2007,12347364,12347364.0,Other
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Philippines,2009,6638,6638.0,Other
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Singapore,2002,52316,52316.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Malaysia,2009,3087,3087.0,Refined/Articles
8110 Antimony And Artcls Throf Incl Waste And Scrap,Vietnam,2002,46225,46225.0,Other
"3910 Silicones, In Primary Forms",Philippines,2003,28072,28072.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Indonesia,2008,46152,46152.0,Refined/Articles
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Thailand,2005,25314,25314.0,Other
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Thailand,2010,145236,145236.0,Other
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Malaysia,2010,2471,2471.0,Other
2614 Titanium Ores And Concentrates,Malaysia,2007,2426300,2426300.0,Ore/Raw
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Indonesia,2008,52272,52272.0,Other
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Philippines,2003,327254,327254.0,Other
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Indonesia,2007,177992,177992.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Indonesia,2007,6350,6350.0,Refined/Articles
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Vietnam,2009,190208,190208.0,Other
"3910 Silicones, In Primary Forms",Malaysia,2003,4200,4200.0,Other
"3910 Silicones, In Primary Forms",Singapore,2005,23956,23956.0,Other
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Thailand,2009,9554,9554.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Singapore,2002,30079,30079.0,Refined/Articles
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Malaysia,2002,3766,3766.0,Compound
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Vietnam,2010,3011455,3011455.0,Other
2614 Titanium Ores And Concentrates,Malaysia,2003,4899519,4899519.0,Ore/Raw
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Thailand,2006,149333,149333.0,Other
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Malaysia,2001,11112,,Other
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Thailand,2007,6780,6780.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Malaysia,2005,5835,5835.0,Refined/Articles
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Philippines,2009,8500,8500.0,Refined/Articles
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Vietnam,2008,46350,46350.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Malaysia,2002,12776,12776.0,Refined/Articles
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,2009,11009,11009.0,Other
2603 Copper Ores And Concentrates,Indonesia,2001,14201112,,Ore/Raw
2614 Titanium Ores And Concentrates,Malaysia,2004,2394100,2394100.0,Ore/Raw
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Philippines,2007,10385,10385.0,Refined/Articles
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,2008,101847,101847.0,Other
"3910 Silicones, In Primary Forms",Vietnam,2006,11616,11616.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Indonesia,2005,570834,570834.0,Refined/Articles
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Singapore,2001,459392,,Other
"3910 Silicones, In Primary Forms",Thailand,2005,21989060,21989060.0,Other
8110 Antimony And Artcls Throf Incl Waste And Scrap,Vietnam,2005,569000,569000.0,Other
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,2010,117949,117949.0,Other
8110 Antimony And Artcls Throf Incl Waste And Scrap,Thailand,2003,29393,29393.0,Other
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Philippines,2002,10748,10748.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,2004,43841,43841.0,Refined/Articles
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Malaysia,2005,28595,28595.0,Other
"3910 Silicones, In Primary Forms",Thailand,2006,35856903,35856903.0,Other
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Singapore,2010,57117,57117.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Singapore,2009,392604,392604.0,Refined/Articles
"3910 Silicones, In Primary Forms",Singapore,2008,20834,20834.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Singapore,2001,92850,,Refined/Articles
2614 Titanium Ores And Concentrates,Vietnam,2004,2752100,2752100.0,Ore/Raw
2820 Manganese Oxides,Singapore,2009,194460,194460.0,Compound
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Philippines,2008,11092,11092.0,Refined/Articles
8110 Antimony And Artcls Throf Incl Waste And Scrap,Vietnam,2009,590300,590300.0,Other
"3910 Silicones, In Primary Forms",Singapore,2002,98527,98527.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2003,221066,221066.0,Refined/Articles
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Indonesia,2005,51121,51121.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Indonesia,2004,91348,91348.0,Refined/Articles
"3910 Silicones, In Primary Forms",Thailand,2003,1616,1616.0,Other
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Thailand,2006,13968,13968.0,Other
"3910 Silicones, In Primary Forms",Indonesia,2001,1483,,Other
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Philippines,2001,4510491,,Other
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Thailand,2003,3379700,3379700.0,Other
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Singapore,2010,3119775,3119775.0,Other
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Singapore,2008,2100,2100.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,2003,19302,19302.0,Refined/Articles
"3910 Silicones, In Primary Forms",Philippines,2007,12800,12800.0,Other
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,2003,24154,24154.0,Other
8110 Antimony And Artcls Throf Incl Waste And Scrap,Vietnam,2006,287130,287130.0,Other
"3910 Silicones, In Primary Forms",Thailand,2004,7495953,7495953.0,Other
2820 Manganese Oxides,Singapore,2007,142215,142215.0,Compound
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Philippines,2006,399600,399600.0,Refined/Articles
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Malaysia,2006,14912,14912.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2006,238660,238660.0,Refined/Articles
"3910 Silicones, In Primary Forms",Indonesia,2008,639269,639269.0,Other
2614 Titanium Ores And Concentrates,Malaysia,2005,6192500,6192500.0,Ore/Raw
8110 Antimony And Artcls Throf Incl Waste And Scrap,Vietnam,2004,53000,53000.0,Other
2504 Natural Graphite,Singapore,2009,20650,20650.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Philippines,2001,114653,,Refined/Articles
2614 Titanium Ores And Concentrates,Malaysia,2010,2617444,2617444.0,Ore/Raw
"3910 Silicones, In Primary Forms",Thailand,2001,3240,,Other
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Indonesia,2006,4386,4386.0,Other
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Thailand,2009,27660,27660.0,Other
"3910 Silicones, In Primary Forms",Singapore,2001,104469,,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Malaysia,2008,213285,213285.0,Refined/Articles
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Philippines,2005,10000,10000.0,Other
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Singapore,2001,3800,,Other
"3910 Silicones, In Primary Forms",Malaysia,2002,30257,30257.0,Other
"3910 Silicones, In Primary Forms",Indonesia,2010,1310,1310.0,Other
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Philippines,2004,130000,130000.0,Other
"3910 Silicones, In Primary Forms",Malaysia,2001,20380,,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Philippines,2008,5345,5345.0,Refined/Articles
8110 Antimony And Artcls Throf Incl Waste And Scrap,Vietnam,2007,842369,842369.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Malaysia,2008,12939,12939.0,Refined/Articles
282520 Lithium Oxide And Hydroxide,Singapore,2006,3000,3000.0,Compound
282540 Nickel Oxides And Hydroxides,Philippines,2001,26954,,Compound
282540 Nickel Oxides And Hydroxides,Philippines,2003,12820,12820.0,Compound
282540 Nickel Oxides And Hydroxides,Philippines,2005,102960,102960.0,Compound
282540 Nickel Oxides And Hydroxides,Philippines,2006,55200,55200.0,Compound
282540 Nickel Oxides And Hydroxides,Philippines,2009,607645,607645.0,Compound
282540 Nickel Oxides And Hydroxides,Philippines,2010,563316,563316.0,Compound
282580 Antimony Oxides,Vietnam,2004,48800,48800.0,Compound
282580 Antimony Oxides,Vietnam,2005,4953650,4953650.0,Compound
282580 Antimony Oxides,Vietnam,2006,6604950,6604950.0,Compound
282580 Antimony Oxides,Thailand,2007,8501,8501.0,Compound
282580 Antimony Oxides,Vietnam,2007,251000,251000.0,Compound
282580 Antimony Oxides,Vietnam,2008,51000,51000.0,Compound
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder",Singapore,2001,18806,,Other
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder",Singapore,2005,120000,120000.0,Other
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder",Singapore,2006,1726555,1726555.0,Other
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder",Singapore,2007,11107364,11107364.0,Other
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder",Singapore,2008,356000,356000.0,Other
"711049 Iridium, Osmium And Ruthenium, Semimanufactured",Singapore,2001,49495,,Other
"711049 Iridium, Osmium And Ruthenium, Semimanufactured",Thailand,2010,6071,6071.0,Other
850511 Permanent Magnets Made Of Metal,Thailand,2001,560804,,Advanced Product
850511 Permanent Magnets Made Of Metal,Malaysia,2001,682728,,Advanced Product
850511 Permanent Magnets Made Of Metal,Singapore,2001,111490,,Advanced Product
850511 Permanent Magnets Made Of Metal,Philippines,2001,745303,,Advanced Product
850511 Permanent Magnets Made Of Metal,Thailand,2002,568159,568159.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Malaysia,2002,671145,671145.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Singapore,2002,27905,27905.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Indonesia,2002,14186,14186.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Philippines,2002,691740,691740.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Thailand,2003,171379,171379.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Malaysia,2003,549475,549475.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Singapore,2003,27054,27054.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Indonesia,2003,19499,19499.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Philippines,2003,506962,506962.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Thailand,2004,38922,38922.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Vietnam,2004,2785,2785.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Malaysia,2004,179498,179498.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Singapore,2004,93784,93784.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Indonesia,2004,27825,27825.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Philippines,2004,630758,630758.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Thailand,2005,33385,33385.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Vietnam,2005,30309,30309.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Malaysia,2005,243277,243277.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Singapore,2005,75624,75624.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Indonesia,2005,41043,41043.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Philippines,2005,1272799,1272799.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Thailand,2006,13232,13232.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Vietnam,2006,27395,27395.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Malaysia,2006,1143478,1143478.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Singapore,2006,151567,151567.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Indonesia,2006,51859,51859.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Philippines,2006,2640085,2640085.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Thailand,2007,66195,66195.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Vietnam,2007,17565,17565.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Malaysia,2007,867315,867315.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Singapore,2007,121550,121550.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Indonesia,2007,79229,79229.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Philippines,2007,4410328,4410328.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Thailand,2008,83629,83629.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Vietnam,2008,7027,7027.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Malaysia,2008,457508,457508.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Singapore,2008,94990,94990.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Indonesia,2008,64822,64822.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Philippines,2008,4467465,4467465.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Thailand,2009,131344,131344.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Vietnam,2009,23810,23810.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Malaysia,2009,818059,818059.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Singapore,2009,33239,33239.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Indonesia,2009,40799,40799.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Philippines,2009,3182225,3182225.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Thailand,2010,33568,33568.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Vietnam,2010,44134,44134.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Malaysia,2010,1100582,1100582.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Singapore,2010,126976,126976.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Indonesia,2010,66884,66884.0,Advanced Product
850511 Permanent Magnets Made Of Metal,Philippines,2010,9156848,9156848.0,Advanced Product
"850650 Primary Cells And Batteries, Lithium",Malaysia,2001,1237072,,Other
"850650 Primary Cells And Batteries, Lithium",Singapore,2001,502445,,Other
"850650 Primary Cells And Batteries, Lithium",Indonesia,2001,522400,,Other
"850650 Primary Cells And Batteries, Lithium",Philippines,2001,82000,,Other
"850650 Primary Cells And Batteries, Lithium",Malaysia,2002,2193725,2450445.0,Other
"850650 Primary Cells And Batteries, Lithium",Singapore,2002,518205,518205.0,Other
"850650 Primary Cells And Batteries, Lithium",Indonesia,2002,1472329,1472329.0,Other
"850650 Primary Cells And Batteries, Lithium",Philippines,2002,5104,5104.0,Other
"850650 Primary Cells And Batteries, Lithium",Thailand,2003,2141,2141.0,Other
"850650 Primary Cells And Batteries, Lithium",Malaysia,2003,1785532,2159912.0,Other
"850650 Primary Cells And Batteries, Lithium",Singapore,2003,1893055,1893055.0,Other
"850650 Primary Cells And Batteries, Lithium",Indonesia,2003,1401879,1401879.0,Other
"850650 Primary Cells And Batteries, Lithium",Philippines,2003,7039,7039.0,Other
"850650 Primary Cells And Batteries, Lithium",Thailand,2004,60499,60499.0,Other
"850650 Primary Cells And Batteries, Lithium",Vietnam,2004,63416,63416.0,Other
"850650 Primary Cells And Batteries, Lithium",Malaysia,2004,2091131,2522196.0,Other
"850650 Primary Cells And Batteries, Lithium",Singapore,2004,2884607,2794401.0,Other
"850650 Primary Cells And Batteries, Lithium",Indonesia,2004,1349170,1349170.0,Other
"850650 Primary Cells And Batteries, Lithium",Philippines,2004,15806,15806.0,Other
"850650 Primary Cells And Batteries, Lithium",Thailand,2005,19573,19573.0,Other
"850650 Primary Cells And Batteries, Lithium",Malaysia,2005,1735050,2115941.0,Other
"850650 Primary Cells And Batteries, Lithium",Singapore,2005,1168903,1199219.0,Other
"850650 Primary Cells And Batteries, Lithium",Indonesia,2005,2460686,2492190.0,Other
"850650 Primary Cells And Batteries, Lithium",Philippines,2005,28601,28601.0,Other
"850650 Primary Cells And Batteries, Lithium",Thailand,2006,56609,56609.0,Other
"850650 Primary Cells And Batteries, Lithium",Cambodia,2006,8700,8700.0,Other
"850650 Primary Cells And Batteries, Lithium",Malaysia,2006,7110376,7492349.0,Other
"850650 Primary Cells And Batteries, Lithium",Singapore,2006,1460819,1460819.0,Other
"850650 Primary Cells And Batteries, Lithium",Indonesia,2006,4349179,4311559.0,Other
"850650 Primary Cells And Batteries, Lithium",Philippines,2006,1141773,1141773.0,Other
"850650 Primary Cells And Batteries, Lithium",Thailand,2007,305332,309903.0,Other
"850650 Primary Cells And Batteries, Lithium",Malaysia,2007,6773751,6994996.0,Other
"850650 Primary Cells And Batteries, Lithium",Singapore,2007,594346,594346.0,Other
"850650 Primary Cells And Batteries, Lithium",Indonesia,2007,4408467,4346687.0,Other
"850650 Primary Cells And Batteries, Lithium",Philippines,2007,278519,225959.0,Other
"850650 Primary Cells And Batteries, Lithium",Thailand,2008,1504318,1504318.0,Other
"850650 Primary Cells And Batteries, Lithium",Vietnam,2008,93896,93896.0,Other
"850650 Primary Cells And Batteries, Lithium",Malaysia,2008,4901011,5044789.0,Other
"850650 Primary Cells And Batteries, Lithium",Singapore,2008,112400,112400.0,Other
"850650 Primary Cells And Batteries, Lithium",Indonesia,2008,5633623,5625281.0,Other
"850650 Primary Cells And Batteries, Lithium",Philippines,2008,117027,117027.0,Other
"850650 Primary Cells And Batteries, Lithium",Thailand,2009,367182,367182.0,Other
"850650 Primary Cells And Batteries, Lithium",Malaysia,2009,4648572,4648572.0,Other
"850650 Primary Cells And Batteries, Lithium",Singapore,2009,256451,256451.0,Other
"850650 Primary Cells And Batteries, Lithium",Indonesia,2009,5543111,5560395.0,Other
"850650 Primary Cells And Batteries, Lithium",Philippines,2009,135491,135491.0,Other
"850650 Primary Cells And Batteries, Lithium",Thailand,2010,304133,304133.0,Other
"850650 Primary Cells And Batteries, Lithium",Malaysia,2010,2806566,2806566.0,Other
"850650 Primary Cells And Batteries, Lithium",Singapore,2010,158484,158484.0,Other
"850650 Primary Cells And Batteries, Lithium",Indonesia,2010,9060753,9007326.0,Other
"850650 Primary Cells And Batteries, Lithium",Philippines,2010,273295,273295.0,Other
74 Copper And Articles Thereof,Philippines,2017,1344342,1349172.0,Refined/Articles
80 Tin And Articles Thereof,Philippines,2011,288890,288890.0,Refined/Articles
75 Nickel And Articles Thereof,Vietnam,2013,47398,47398.0,Refined/Articles
74 Copper And Articles Thereof,Laos,2012,5300,5300.0,Refined/Articles
74 Copper And Articles Thereof,Singapore,2018,10226427,10226427.0,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2017,6797189,6797189.0,Refined/Articles
75 Nickel And Articles Thereof,Malaysia,2018,430286,9353547.0,Refined/Articles
80 Tin And Articles Thereof,Philippines,2015,624108,624108.0,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2014,4200,4200.0,Refined/Articles
75 Nickel And Articles Thereof,Vietnam,2011,331464,331464.0,Refined/Articles
80 Tin And Articles Thereof,Vietnam,2011,101896,101896.0,Refined/Articles
80 Tin And Articles Thereof,Vietnam,2015,195933,195933.0,Refined/Articles
80 Tin And Articles Thereof,Singapore,2013,2120354,2120354.0,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2011,14202,14202.0,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2020,96393985,96810159.0,Refined/Articles
74 Copper And Articles Thereof,Brunei,2017,2600,2600.0,Refined/Articles
80 Tin And Articles Thereof,Singapore,2016,3158725,3158725.0,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2020,10248049,10211050.0,Refined/Articles
80 Tin And Articles Thereof,Burma,2018,401629,401629.0,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2016,8278860,8278860.0,Refined/Articles
75 Nickel And Articles Thereof,Thailand,2019,186375,186375.0,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2012,226297548,226230805.0,Refined/Articles
80 Tin And Articles Thereof,Thailand,2017,9925205,9925205.0,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2019,242562677,243362019.0,Refined/Articles
74 Copper And Articles Thereof,Singapore,2014,8855123,8855123.0,Refined/Articles
80 Tin And Articles Thereof,Vietnam,2016,296842,296842.0,Refined/Articles
80 Tin And Articles Thereof,Vietnam,2019,184982,184982.0,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2019,137382890,137382890.0,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2016,21766445,21766445.0,Refined/Articles
75 Nickel And Articles Thereof,Philippines,2015,2839,2839.0,Refined/Articles
75 Nickel And Articles Thereof,Singapore,2011,36681553,36681553.0,Refined/Articles
75 Nickel And Articles Thereof,Vietnam,2017,63812,63812.0,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2012,26802198,26802198.0,Refined/Articles
75 Nickel And Articles Thereof,Indonesia,2015,10071231,10071231.0,Refined/Articles
74 Copper And Articles Thereof,Philippines,2011,2234549,2234549.0,Refined/Articles
80 Tin And Articles Thereof,Thailand,2011,50813432,56854839.0,Refined/Articles
80 Tin And Articles Thereof,Singapore,2015,4066625,4066625.0,Refined/Articles
75 Nickel And Articles Thereof,Indonesia,2020,9376413,9376413.0,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2013,265483824,264583707.0,Refined/Articles
80 Tin And Articles Thereof,Singapore,2012,8233138,8233138.0,Refined/Articles
80 Tin And Articles Thereof,Indonesia,2019,93133477,93133477.0,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2016,11173426,11173426.0,Refined/Articles
76 Aluminum And Articles Thereof,Brunei,2019,6511,6511.0,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2014,34534028,34531506.0,Refined/Articles
76 Aluminum And Articles Thereof,Vietnam,2017,111558303,111537857.0,Refined/Articles
