Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),CategoryType
76 Aluminum And Articles Thereof,Vietnam,2002,524041,524041.0,Refined/Articles
80 Tin And Articles Thereof,Vietnam,2007,143376,143376.0,Refined/Articles
80 Tin And Articles Thereof,Indonesia,2009,17832946,17832946.0,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2010,18138857,18133574.0,Refined/Articles
74 Copper And Articles Thereof,Thailand,2010,56194275,56194275.0,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2010,2545941,2051929.0,Refined/Articles
80 Tin And Articles Thereof,Indonesia,2006,36660806,36660806.0,Refined/Articles
74 Copper And Articles Thereof,Singapore,2007,4649175,4649175.0,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2003,4443478,4443478.0,Refined/Articles
75 Nickel And Articles Thereof,Thailand,2003,43432,43432.0,Refined/Articles
80 Tin And Articles Thereof,Singapore,2005,1552866,1552866.0,Refined/Articles
74 Copper And Articles Thereof,Thailand,2005,43235408,43165865.0,Refined/Articles
75 Nickel And Articles Thereof,Singapore,2007,2496551,2496551.0,Refined/Articles
74 Copper And Articles Thereof,Philippines,2003,859560,859560.0,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2006,108785788,99238342.0,Refined/Articles
75 Nickel And Articles Thereof,Malaysia,2002,56234,56234.0,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2005,79121868,79121868.0,Refined/Articles
75 Nickel And Articles Thereof,Singapore,2008,5061935,5055458.0,Refined/Articles
75 Nickel And Articles Thereof,Thailand,2010,73117,73117.0,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2003,2307704,3692306.0,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2008,12421083,12421083.0,Refined/Articles
80 Tin And Articles Thereof,Vietnam,2003,348234,348234.0,Refined/Articles
80 Tin And Articles Thereof,Vietnam,2005,178487,178487.0,Refined/Articles
76 Aluminum And Articles Thereof,Vietnam,2007,6052777,6052777.0,Refined/Articles
74 Copper And Articles Thereof,Thailand,2004,43754380,43743515.0,Refined/Articles
75 Nickel And Articles Thereof,Singapore,2005,1657764,1657764.0,Refined/Articles
75 Nickel And Articles Thereof,Philippines,2006,4921,4921.0,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2006,15947634,15939035.0,Refined/Articles
75 Nickel And Articles Thereof,Thailand,2008,129131,129131.0,Refined/Articles
74 Copper And Articles Thereof,Philippines,2008,4761069,4761069.0,Refined/Articles
80 Tin And Articles Thereof,Burma,2002,5227,5227.0,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2008,35119611,35119611.0,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2008,2492549,2492549.0,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2005,167697081,167656998.0,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2006,2351330,2351330.0,Refined/Articles
74 Copper And Articles Thereof,Thailand,2007,63481921,63476762.0,Refined/Articles
80 Tin And Articles Thereof,Philippines,2009,135647,135647.0,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2003,19815427,19815427.0,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2002,113915666,113900545.0,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2007,10982897,10982897.0,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2007,2750,2750.0,Refined/Articles
74 Copper And Articles Thereof,Singapore,2003,2326457,2181892.0,Refined/Articles
80 Tin And Articles Thereof,Philippines,2006,623634,623634.0,Refined/Articles
80 Tin And Articles Thereof,Singapore,2002,195021,195021.0,Refined/Articles
75 Nickel And Articles Thereof,Philippines,2008,3806,3806.0,Refined/Articles
74 Copper And Articles Thereof,Thailand,2003,34226971,34226971.0,Refined/Articles
80 Tin And Articles Thereof,Philippines,2005,1537629,1537629.0,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2007,139230819,139230819.0,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2005,8518037,8518037.0,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2008,89894441,89901660.0,Refined/Articles
80 Tin And Articles Thereof,Vietnam,2008,72407,72407.0,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2002,29031393,28959261.0,Refined/Articles
74 Copper And Articles Thereof,Laos,2008,15170,15170.0,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2003,29444616,29416244.0,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2005,3880,3880.0,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2009,46127531,46127531.0,Refined/Articles
75 Nickel And Articles Thereof,Singapore,2003,13089099,13089099.0,Refined/Articles
80 Tin And Articles Thereof,Vietnam,2009,71358,71358.0,Refined/Articles
80 Tin And Articles Thereof,Thailand,2004,7280950,7280950.0,Refined/Articles
74 Copper And Articles Thereof,Singapore,2006,5915363,5915363.0,Refined/Articles
76 Aluminum And Articles Thereof,Vietnam,2001,20318,,Refined/Articles
76 Aluminum And Articles Thereof,Vietnam,2005,2316693,2316693.0,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2007,1548933,1548933.0,Refined/Articles
74 Copper And Articles Thereof,Philippines,2005,5244737,5244737.0,Refined/Articles
80 Tin And Articles Thereof,Singapore,2001,760189,,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2005,51260358,51260358.0,Refined/Articles
75 Nickel And Articles Thereof,Indonesia,2002,301387,301387.0,Refined/Articles
80 Tin And Articles Thereof,Philippines,2007,557976,557976.0,Refined/Articles
75 Nickel And Articles Thereof,Indonesia,2010,40290,40290.0,Refined/Articles
80 Tin And Articles Thereof,Singapore,2008,15751102,15751102.0,Refined/Articles
74 Copper And Articles Thereof,Philippines,2002,1663579,1663579.0,Refined/Articles
80 Tin And Articles Thereof,Singapore,2010,15861610,18213478.0,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2002,4674968,1810172.0,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2006,245507,245507.0,Refined/Articles
80 Tin And Articles Thereof,Indonesia,2004,39119896,37290825.0,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2004,52845466,52855897.0,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2010,28491852,28491852.0,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2003,4202,4202.0,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2003,116547555,116514702.0,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2010,12856684,12856684.0,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2001,2709006,,Refined/Articles
74 Copper And Articles Thereof,Philippines,2007,2668374,2668374.0,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2008,1165406,1165406.0,Refined/Articles
80 Tin And Articles Thereof,Philippines,2001,2161335,,Refined/Articles
80 Tin And Articles Thereof,Thailand,2008,37426324,37426324.0,Refined/Articles
74 Copper And Articles Thereof,Thailand,2001,38163629,,Refined/Articles
74 Copper And Articles Thereof,Thailand,2008,65837224,65810973.0,Refined/Articles
76 Aluminum And Articles Thereof,Vietnam,2004,2224382,2224382.0,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2009,2714956,2714956.0,Refined/Articles
75 Nickel And Articles Thereof,Malaysia,2008,514191,514191.0,Refined/Articles
74 Copper And Articles Thereof,Philippines,2006,7206939,7206939.0,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2008,24277860,24277860.0,Refined/Articles
80 Tin And Articles Thereof,Thailand,2009,956038,956038.0,Refined/Articles
80 Tin And Articles Thereof,Philippines,2004,1454040,1454040.0,Refined/Articles
74 Copper And Articles Thereof,Philippines,2001,14507529,,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2008,191943870,191943870.0,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2007,166393,166393.0,Refined/Articles
76 Aluminum And Articles Thereof,Vietnam,2006,5614471,5614471.0,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2009,18014589,18007059.0,Refined/Articles
76 Aluminum And Articles Thereof,Vietnam,2009,2244335,2244335.0,Refined/Articles
74 Copper And Articles Thereof,Singapore,2005,2444110,2444110.0,Refined/Articles
80 Tin And Articles Thereof,Indonesia,2008,30872360,30872360.0,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2002,16590161,16508873.0,Refined/Articles
74 Copper And Articles Thereof,Laos,2001,20671,,Refined/Articles
74 Copper And Articles Thereof,Philippines,2004,1499055,1499055.0,Refined/Articles
80 Tin And Articles Thereof,Singapore,2006,12342289,12342289.0,Refined/Articles
80 Tin And Articles Thereof,Thailand,2006,3247874,3247874.0,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2001,114463943,,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2001,19395332,,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2004,3368107,3368107.0,Refined/Articles
80 Tin And Articles Thereof,Thailand,2010,34540096,31778133.0,Refined/Articles
80 Tin And Articles Thereof,Indonesia,2002,11645289,11645289.0,Refined/Articles
