Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),HS_Code,CategoryType
2504 Natural Graphite,ASEAN - Association of Southeast Asian Nations,2025,7225570,7225570.0,2504,Other
2504 Natural Graphite,ASEAN - Association of Southeast Asian Nations,2022,2308,2308.0,2504,Other
2504 Natural Graphite,Hong Kong,2023,215000,215000.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2023,128065954,128050110.0,2504,Other
2504 Natural Graphite,Asia - South,2008,1334313,1334313.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2021,53987731,53943942.0,2504,Other
2504 Natural Graphite,Asia - South,2007,2434700,2434700.0,2504,Other
2504 Natural Graphite,Thailand,2024,10094,10094.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2024,121726742,121698621.0,2504,Other
2504 Natural Graphite,Taiwan,2023,19575,19575.0,2504,Other
2504 Natural Graphite,Asia - South,2009,189610,189610.0,2504,Other
2504 Natural Graphite,ASEAN - Association of Southeast Asian Nations,2009,20650,20650.0,2504,Other
2504 Natural Graphite,Asia - South,2002,470819,470819.0,2504,Other
2504 Natural Graphite,Asia - South,2006,1183180,1183180.0,2504,Other
2504 Natural Graphite,Asia - South,2001,764533,,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2006,21159453,21159453.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2025,58348425,56681679.0,2504,Other
2504 Natural Graphite,ASEAN - Association of Southeast Asian Nations,2007,3822,3822.0,2504,Other
2504 Natural Graphite,Taiwan,2001,184030,,2504,Other
2504 Natural Graphite,Hong Kong,2001,4577,,2504,Other
2504 Natural Graphite,Taiwan,2016,6600,6600.0,2504,Other
2504 Natural Graphite,Malaysia,2022,2308,2308.0,2504,Other
2504 Natural Graphite,Hong Kong,2013,628290,628290.0,2504,Other
2504 Natural Graphite,Singapore,2017,5593,5593.0,2504,Other
2504 Natural Graphite,Taiwan,2022,15654,15654.0,2504,Other
2504 Natural Graphite,Japan,2019,1992601,1980885.0,2504,Other
2504 Natural Graphite,Taiwan,2020,6948,6948.0,2504,Other
2504 Natural Graphite,Japan,2013,5095325,5095325.0,2504,Other
2504 Natural Graphite,"Korea, South",2021,19300,19300.0,2504,Other
2504 Natural Graphite,"Korea, South",2014,19200,19200.0,2504,Other
2504 Natural Graphite,Japan,2016,3771859,3771859.0,2504,Other
2504 Natural Graphite,Hong Kong,2012,49200,49200.0,2504,Other
2504 Natural Graphite,Japan,2014,7284190,7284190.0,2504,Other
2504 Natural Graphite,Taiwan,2012,12896,12896.0,2504,Other
2504 Natural Graphite,Hong Kong,2022,731819,731819.0,2504,Other
2504 Natural Graphite,Hong Kong,2016,168782,168782.0,2504,Other
2504 Natural Graphite,"Korea, South",2022,408034,408034.0,2504,Other
2504 Natural Graphite,Hong Kong,2011,45440,45440.0,2504,Other
2504 Natural Graphite,Japan,2025,134143,129055.0,2504,Other
2504 Natural Graphite,Hong Kong,2024,202350,202350.0,2504,Other
2504 Natural Graphite,Taiwan,2025,21926,21926.0,2504,Other
2504 Natural Graphite,Hong Kong,2020,290400,290400.0,2504,Other
2504 Natural Graphite,Japan,2011,3763618,3763618.0,2504,Other
2504 Natural Graphite,Taiwan,2019,12396,12396.0,2504,Other
2504 Natural Graphite,Taiwan,2015,7823,7823.0,2504,Other
2504 Natural Graphite,Vietnam,2019,19775,19775.0,2504,Other
2504 Natural Graphite,Japan,2024,996588,996588.0,2504,Other
2504 Natural Graphite,"Korea, South",2012,8435,8435.0,2504,Other
2504 Natural Graphite,Singapore,2020,20895,20895.0,2504,Other
2504 Natural Graphite,Asia - South,2012,1034210,1034210.0,2504,Other
2504 Natural Graphite,Indonesia,2025,7225570,7225570.0,2504,Other
2504 Natural Graphite,Indonesia,2024,72590,72590.0,2504,Other
2504 Natural Graphite,Vietnam,2013,8496,8496.0,2504,Other
2504 Natural Graphite,"Korea, South",2024,4443587,4443587.0,2504,Other
2504 Natural Graphite,Mongolia,2014,71820,71820.0,2504,Other
2504 Natural Graphite,Hong Kong,2018,1116000,1116000.0,2504,Other
2504 Natural Graphite,Thailand,2007,3822,3822.0,2504,Other
2504 Natural Graphite,"Korea, South",2011,12617,12617.0,2504,Other
2504 Natural Graphite,Japan,2020,476197,470246.0,2504,Other
2504 Natural Graphite,Asia - South,2018,3522174,3522174.0,2504,Other
2504 Natural Graphite,Japan,2003,1932884,1932884.0,2504,Other
2504 Natural Graphite,"Korea, South",2025,52820,52820.0,2504,Other
2504 Natural Graphite,Asia - South,2014,1033841,1033841.0,2504,Other
2504 Natural Graphite,Asia - South,2016,848774,848774.0,2504,Other
2504 Natural Graphite,Japan,2012,4121163,4121163.0,2504,Other
2504 Natural Graphite,Taiwan,2017,28049,28049.0,2504,Other
2504 Natural Graphite,Japan,2017,1494088,1494088.0,2504,Other
2504 Natural Graphite,Asia - South,2015,860808,860808.0,2504,Other
2504 Natural Graphite,Hong Kong,2021,1759304,1759304.0,2504,Other
2504 Natural Graphite,Singapore,2018,2700,2700.0,2504,Other
2504 Natural Graphite,Japan,2018,1939858,1923938.0,2504,Other
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,Asia - South,2025,20822,20822.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2010,26203327,26203327.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,"Korea, South",2017,12795,12795.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,Japan,2012,14800,14800.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,Asia - South,2001,92140,,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,"Korea, South",2013,72800,72800.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2024,8382459,8382459.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2019,8682211,8682211.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,Asia - South,2005,12812,12812.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2006,5537338,5537338.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2018,12705660,12705660.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2017,13685511,13685511.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2004,7152704,7152704.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2013,18880528,18880528.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2003,2570976,2570976.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2023,2485470,2485470.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,Asia - South,2004,6546,6546.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,Japan,2014,6000,6000.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2005,7557358,7557358.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,Asia - South,2024,99656,99656.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2025,6547756,6547756.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2001,3611541,,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2016,5466811,5466811.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2008,25938359,25938359.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2009,13179435,13179435.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2007,12813267,12813267.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,Asia - South,2007,4633,4633.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2012,7058472,7058472.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,Asia - South,2008,6045,6045.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2015,10483241,10483241.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2002,3575813,3575813.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2014,13482125,13482125.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2022,15085829,15085829.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2020,14121280,14121280.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2021,9674112,9674112.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2011,35575561,35575561.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,Asia - South,2023,239225,239225.0,2602,Ore/Raw
2603 Copper Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2002,5723332,5723332.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,Japan,2016,4650,4650.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2024,257457,257457.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2001,57972384,,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2004,24656786,24656786.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2021,101450514,101450514.0,2603,Ore/Raw
