Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons),Card Count,Dutiable Value ($US),CIF Value (Gen) ($US),CIF Value (Cons) ($US),Calculated Duty($US),Customs Unit Value (Gen),Customs Unit Value (Cons)
74 Copper And Articles Thereof,Japan,All Country Subcodes,All Rate Provisions,All Districts,2021,222467426,208792236.0,,,,,5123.0,125356071.0,228759592.0,214891001.0,2656560.0,,
76 Aluminum And Articles Thereof,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2022,195926147,196006535.0,,,,,4152.0,195503240.0,216001686.0,216088308.0,14066819.0,,
80 Tin And Articles Thereof,Hong Kong,All Country Subcodes,All Rate Provisions,All Districts,2023,67136,67136.0,,,,,8.0,28131.0,74158.0,74158.0,618.0,,
76 Aluminum And Articles Thereof,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2021,619186643,610846473.0,,,,,8769.0,558659214.0,674561823.0,665272225.0,23225286.0,,
74 Copper And Articles Thereof,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2025 through June,7899927,7902583.0,,,,,32.0,7702019.0,7979684.0,7982375.0,80916.0,,
75 Nickel And Articles Thereof,Hong Kong,All Country Subcodes,All Rate Provisions,All Districts,2025 through June,379308,0.0,,,,,1.0,0.0,409308.0,0.0,0.0,,
75 Nickel And Articles Thereof,"Korea, South",All Country Subcodes,All Rate Provisions,All Districts,2021,3886616,3886616.0,,,,,145.0,600825.0,4042936.0,4042936.0,17781.0,,
75 Nickel And Articles Thereof,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2023,7605,7605.0,,,,,1.0,7605.0,7749.0,7749.0,198.0,,
80 Tin And Articles Thereof,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2024,1018253,1018253.0,,,,,2.0,0.0,1026253.0,1026253.0,0.0,,
80 Tin And Articles Thereof,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2025 through June,38693,38693.0,,,,,4.0,38693.0,43122.0,43122.0,2049.0,,
80 Tin And Articles Thereof,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2021,53750,53750.0,,,,,3.0,0.0,61750.0,61750.0,0.0,,
76 Aluminum And Articles Thereof,Japan,All Country Subcodes,All Rate Provisions,All Districts,2023,203304719,197228014.0,,,,,6174.0,196335925.0,211484440.0,205547240.0,17624458.0,,
74 Copper And Articles Thereof,Macau,All Country Subcodes,All Rate Provisions,All Districts,2022,185961,185961.0,,,,,9.0,185961.0,186976.0,186976.0,5580.0,,
80 Tin And Articles Thereof,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2025 through June,11470,11470.0,,,,,1.0,0.0,15470.0,15470.0,0.0,,
