Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US)
"2801 Fluorine, Chlorine, Bromine & Iodine",Taiwan,2008,4492,4492.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,2009,391748,391748.0
"3910 Silicones, In Primary Forms",Hong Kong,2008,663589,663589.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2009,527447,527447.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,"Korea, South",2006,494125,494125.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Japan,2006,192773762,192773762.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Taiwan,2002,4200,4200.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Japan,2005,142061787,139602689.0
2504 Natural Graphite,Taiwan,2009,5000,5000.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Thailand,2004,7539,7539.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Japan,2001,106783996,
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2005,265177,265177.0
"3910 Silicones, In Primary Forms",Singapore,2004,18331,18331.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Taiwan,2010,3629842,3629842.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Japan,2010,43524697,43524697.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Indonesia,2006,64400,64400.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Korea, South",2008,495476,495476.0
2504 Natural Graphite,Japan,2002,1581524,1581524.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Japan,2003,33765475,33765475.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Japan,2007,172809665,172809665.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Taiwan,2007,14310,14310.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,"Korea, South",2008,34776528,34776528.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Singapore,2005,1721963,1721963.0
2504 Natural Graphite,Hong Kong,2002,11100,11100.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Korea, South",2006,406211,406211.0
"3910 Silicones, In Primary Forms",Taiwan,2001,101753,
"3910 Silicones, In Primary Forms",Thailand,2008,30558230,30558230.0
2504 Natural Graphite,Hong Kong,2001,4577,
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2004,20585364,20585364.0
2820 Manganese Oxides,Japan,2002,2840302,2840302.0
"3910 Silicones, In Primary Forms",Malaysia,2010,9348,9348.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,2005,31389,31389.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Vietnam,2010,632961,632961.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,2007,188927,188927.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Taiwan,2004,56232,56232.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Japan,2001,11891937,
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Japan,2010,13873959,13873959.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Singapore,2006,6000,6000.0
2614 Titanium Ores And Concentrates,Malaysia,2001,6557518,
2614 Titanium Ores And Concentrates,Japan,2002,5425,5425.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Taiwan,2003,921253,921253.0
2504 Natural Graphite,Japan,2009,1245820,1245820.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Taiwan,2001,360757,
8110 Antimony And Artcls Throf Incl Waste And Scrap,Hong Kong,2007,1077671,1190271.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Japan,2010,244502542,244502542.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Hong Kong,2001,49500,
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Malaysia,2010,20076,20076.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,2001,33710,
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2006,21758117,21758117.0
"2801 Fluorine, Chlorine, Bromine & Iodine",Thailand,2001,20100,
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Hong Kong,2010,2505608,2505608.0
"3910 Silicones, In Primary Forms",Indonesia,2004,4874,4874.0
2504 Natural Graphite,Japan,2005,1295543,1295543.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Taiwan,2001,249457,
"2801 Fluorine, Chlorine, Bromine & Iodine",Taiwan,2010,31640,31640.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,"Korea, South",2008,1689179,1689179.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Japan,2006,54127,54127.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Hong Kong,2007,769065,769065.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,2007,3556303,3556303.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Vietnam,2007,3357,3357.0
"3910 Silicones, In Primary Forms",Malaysia,2008,280585,280585.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Japan,2007,31094255,31094255.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Japan,2001,17224075,
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Taiwan,2007,178317,178317.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Philippines,2004,31833,31833.0
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2001,2772,
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Hong Kong,2005,181480,181480.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Malaysia,2010,134434,134434.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Japan,2008,5158,5158.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,"Korea, South",2003,287730,287730.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Taiwan,2003,108063,108063.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Korea, South",2002,325236,325236.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Philippines,2010,3576,3576.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Hong Kong,2002,164200,164200.0
2605 Cobalt Ores And Concentrates,"Korea, South",2001,195000,
2820 Manganese Oxides,Japan,2006,9179122,9179122.0
"3910 Silicones, In Primary Forms",Malaysia,2004,575,575.0
"3910 Silicones, In Primary Forms",Singapore,2009,269537,269537.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Japan,2003,9666633,8124948.0
"3910 Silicones, In Primary Forms",Singapore,2010,27918,25643.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Taiwan,2003,1260574,1260574.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Taiwan,2007,424690,424690.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Hong Kong,2008,120985,120985.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Indonesia,2009,24203,24203.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Taiwan,2010,8725079,8725079.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Thailand,2006,57669,57669.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Korea, South",2007,950283,950283.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Thailand,2008,135002,135002.0
2504 Natural Graphite,"Korea, South",2007,11540,11540.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Japan,2009,14759098,11682697.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2004,168493,168493.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Taiwan,2007,5639844,5639844.0
"3910 Silicones, In Primary Forms",Japan,2003,64207197,63862567.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Hong Kong,2003,461440,461440.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Singapore,2007,12347364,12347364.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Hong Kong,2009,440053,440053.0
"3910 Silicones, In Primary Forms",Hong Kong,2003,524,524.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Philippines,2009,6638,6638.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Singapore,2002,52316,52316.0
2504 Natural Graphite,"Korea, South",2003,4011,4011.0
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2003,21221487,21221487.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Malaysia,2009,3087,3087.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Japan,2005,98669,98669.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Vietnam,2002,46225,46225.0
"3910 Silicones, In Primary Forms","Korea, South",2010,5109134,5109134.0
"3910 Silicones, In Primary Forms",Philippines,2003,28072,28072.0
"3910 Silicones, In Primary Forms","Korea, South",2001,1287410,
"3910 Silicones, In Primary Forms","Korea, South",2002,635419,635419.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Indonesia,2008,46152,46152.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Thailand,2005,25314,25314.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Taiwan,2006,137358,137358.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,"Korea, South",2005,19637824,19637824.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Japan,2009,5363758,5363758.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Taiwan,2004,5053946,5053946.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Thailand,2010,145236,145236.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Malaysia,2010,2471,2471.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Taiwan,2009,3867410,3867410.0
"3910 Silicones, In Primary Forms",Japan,2002,58478673,57482902.0
2614 Titanium Ores And Concentrates,Malaysia,2007,2426300,2426300.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,"Korea, South",2007,397757,397757.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Taiwan,2008,736044,736044.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Hong Kong,2008,428157,428157.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Taiwan,2010,4742175,4742175.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Japan,2001,135477601,
2820 Manganese Oxides,Japan,2003,3613425,3613425.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Taiwan,2009,124465,124465.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Indonesia,2008,52272,52272.0
"3910 Silicones, In Primary Forms","Korea, South",2007,3296812,3296812.0
"3910 Silicones, In Primary Forms",Hong Kong,2002,22772,22772.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Philippines,2003,327254,327254.0
"3910 Silicones, In Primary Forms",Japan,2006,72580176,71777893.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Indonesia,2007,177992,177992.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Taiwan,2002,968907,968907.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Japan,2005,38435333,38435333.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Korea, South",2008,1868479,1868479.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Indonesia,2007,6350,6350.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Japan,2003,49190924,49190924.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Vietnam,2009,190208,190208.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Hong Kong,2004,382264,382264.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Japan,2010,27570454,22985029.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Japan,2001,486228,
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Japan,2008,156849678,156849678.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Hong Kong,2005,29811,29811.0
"3910 Silicones, In Primary Forms",Malaysia,2003,4200,4200.0
"3910 Silicones, In Primary Forms",Japan,2007,96223159,95454753.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Japan,2007,15702984,15702984.0
"3910 Silicones, In Primary Forms",Singapore,2005,23956,23956.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,"Korea, South",2008,267338,267338.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Thailand,2009,9554,9554.0
"3910 Silicones, In Primary Forms",Japan,2009,106437230,99757478.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Taiwan,2010,3074808,3074808.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Singapore,2002,30079,30079.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Malaysia,2002,3766,3766.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Japan,2003,91902,91902.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Japan,2004,10673031,10113686.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Vietnam,2010,3011455,3011455.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Japan,2004,11565057,11565057.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Taiwan,2005,19136,19136.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Korea, South",2002,49829,49829.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Taiwan,2006,853706,853706.0
"3910 Silicones, In Primary Forms",Taiwan,2003,564217,564217.0
2614 Titanium Ores And Concentrates,Malaysia,2003,4899519,4899519.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Korea, South",2003,111560,111560.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Taiwan,2001,2152036,
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Hong Kong,2007,1815495,1815495.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Taiwan,2009,3094395,3094395.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Thailand,2006,149333,149333.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Japan,2009,17085560,17085560.0
"3910 Silicones, In Primary Forms",Taiwan,2008,424639,424639.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Malaysia,2001,11112,
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Thailand,2007,6780,6780.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Malaysia,2005,5835,5835.0
"3910 Silicones, In Primary Forms",Taiwan,2005,46303,46303.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Philippines,2009,8500,8500.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Vietnam,2008,46350,46350.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Malaysia,2002,12776,12776.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,2009,11009,11009.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Taiwan,2006,14810,14810.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,"Korea, South",2010,470984,470984.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Japan,2003,13565432,13565432.0
2603 Copper Ores And Concentrates,Indonesia,2001,14201112,
2614 Titanium Ores And Concentrates,Malaysia,2004,2394100,2394100.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Japan,2005,30298722,30298722.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,"Korea, South",2005,65613,65613.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Philippines,2007,10385,10385.0
"3910 Silicones, In Primary Forms","Korea, South",2005,2017774,2017774.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,2008,101847,101847.0
"3910 Silicones, In Primary Forms",Japan,2010,151003657,148612060.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Hong Kong,2004,1449235,1449235.0
"3910 Silicones, In Primary Forms",Japan,2001,55294878,
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Taiwan,2008,274962,274962.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Hong Kong,2010,22500,22500.0
"3910 Silicones, In Primary Forms",Vietnam,2006,11616,11616.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Japan,2009,23353417,23353417.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Hong Kong,2010,3408520,3408520.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Japan,2003,15216075,15216075.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Indonesia,2005,570834,570834.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Taiwan,2005,13828897,13828897.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Singapore,2001,459392,
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Taiwan,2002,78665,78665.0
"3910 Silicones, In Primary Forms",Thailand,2005,21989060,21989060.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Vietnam,2005,569000,569000.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Japan,2006,7910890,7899067.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Japan,2001,4915542,
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Taiwan,2001,6150,
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Korea, South",2001,339414,
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Korea, South",2010,2926003,2926003.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,2010,117949,117949.0
2504 Natural Graphite,"Korea, South",2006,5461,5461.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Japan,2010,57988745,57988745.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Taiwan,2009,63442,63442.0
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2010,151600,151600.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,"Korea, South",2004,343093,343093.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,"Korea, South",2003,4242418,4242418.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Taiwan,2003,82703,82703.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Thailand,2003,29393,29393.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Taiwan,2004,265362,265362.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Japan,2010,30159593,30159593.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Taiwan,2002,47600,47600.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,"Korea, South",2010,1949708,330856.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Korea, South",2005,9867884,9867884.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Philippines,2002,10748,10748.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Japan,2008,28926955,19268777.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Hong Kong,2001,14220,
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Taiwan,2003,7744,7744.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,2004,43841,43841.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Korea, South",2006,264938,264938.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Malaysia,2005,28595,28595.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Korea, South",2010,298531,298531.0
"3910 Silicones, In Primary Forms",Thailand,2006,35856903,35856903.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Japan,2001,7756472,
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Japan,2003,5468143,5468143.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Hong Kong,2008,2987833,2987833.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Japan,2007,36033,36033.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Taiwan,2006,279504,279504.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Korea, South",2003,77974,77974.0
"3910 Silicones, In Primary Forms","Korea, South",2004,631316,631316.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Singapore,2010,57117,57117.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Japan,2004,60166,60166.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Korea, South",2001,533292,
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Japan,2008,203228802,203228802.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,"Korea, South",2004,995136,995136.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Singapore,2009,392604,392604.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Japan,2006,20053109,20053109.0
"3910 Silicones, In Primary Forms",Hong Kong,2001,181730,
"3910 Silicones, In Primary Forms",Singapore,2008,20834,20834.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Hong Kong,2003,49800,49800.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Taiwan,2007,20869286,20869286.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Hong Kong,2009,81663,81663.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Singapore,2001,92850,
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Japan,2004,62949471,62949471.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Japan,2004,38268806,38268806.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Korea, South",2002,36548,36548.0
2614 Titanium Ores And Concentrates,Vietnam,2004,2752100,2752100.0
2614 Titanium Ores And Concentrates,Japan,2003,19217,19217.0
2820 Manganese Oxides,Singapore,2009,194460,194460.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Korea, South",2008,143421,143421.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,"Korea, South",2002,10494600,10494600.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Philippines,2008,11092,11092.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Japan,2005,22046546,22046546.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Vietnam,2009,590300,590300.0
"3910 Silicones, In Primary Forms",Singapore,2002,98527,98527.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,"Korea, South",2009,1614939,1614939.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2003,221066,221066.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Taiwan,2005,238868,238868.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Indonesia,2005,51121,51121.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Indonesia,2004,91348,91348.0
"3910 Silicones, In Primary Forms",Thailand,2003,1616,1616.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Thailand,2006,13968,13968.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Hong Kong,2008,7439,7439.0
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2005,20388805,20388805.0
7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide,Taiwan,2008,1858801,1858801.0
2820 Manganese Oxides,Japan,2009,11450349,11450349.0
"3910 Silicones, In Primary Forms",Indonesia,2001,1483,
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Philippines,2001,4510491,
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Thailand,2003,3379700,3379700.0
2614 Titanium Ores And Concentrates,"Korea, South",2008,97200,97200.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Korea, South",2004,459723,459723.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Japan,2009,12215295,12226355.0
2605 Cobalt Ores And Concentrates,Taiwan,2007,1092000,1092000.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Korea, South",2009,603125,603125.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Singapore,2010,3119775,3119775.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Taiwan,2001,1265932,
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Hong Kong,2003,279872,279872.0
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Japan,2009,16538687,16538687.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Singapore,2008,2100,2100.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,"Korea, South",2008,1800237,51350.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Japan,2005,117627026,117610589.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Taiwan,2006,21305718,21305718.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,2003,19302,19302.0
"3910 Silicones, In Primary Forms",Philippines,2007,12800,12800.0
2604 Nickel Ores And Concentrates,Japan,2008,13023,13023.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Japan,2002,57261752,51877088.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,2003,24154,24154.0
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Japan,2002,52132,52132.0
"2801 Fluorine, Chlorine, Bromine & Iodine",Japan,2007,19970644,19970644.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Vietnam,2006,287130,287130.0
"3910 Silicones, In Primary Forms",Thailand,2004,7495953,7495953.0
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,"Korea, South",2009,2190887,21000.0
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Japan,2002,37723082,37723082.0
2820 Manganese Oxides,Singapore,2007,142215,142215.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Hong Kong,2005,3654,3654.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Hong Kong,2006,2661683,2661683.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Philippines,2006,399600,399600.0
2614 Titanium Ores And Concentrates,"Korea, South",2002,17400,17400.0
2504 Natural Graphite,Taiwan,2008,2700,2700.0
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Malaysia,2006,14912,14912.0
2614 Titanium Ores And Concentrates,Japan,2008,6178,6178.0
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Hong Kong,2008,2566657,2566657.0
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South",2006,2550,2550.0
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Hong Kong,2007,1105628,3318.0
2820 Manganese Oxides,"Korea, South",2003,32090,32090.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Korea, South",2009,737171,737171.0
8110 Antimony And Artcls Throf Incl Waste And Scrap,Taiwan,2004,55844,55844.0
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2006,238660,238660.0
"3910 Silicones, In Primary Forms",Indonesia,2008,639269,639269.0
