Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US)
75 Nickel And Articles Thereof,Singapore,2002,354915,354915.0
75 Nickel And Articles Thereof,Taiwan,2002,2886423,1069271.0
74 Copper And Articles Thereof,Hong Kong,2002,4149764,4191762.0
80 Tin And Articles Thereof,"Korea, South",2005,124706,124706.0
74 Copper And Articles Thereof,Indonesia,2003,4468782,4468782.0
76 Aluminum And Articles Thereof,Vietnam,2003,1404678,1404678.0
76 Aluminum And Articles Thereof,Philippines,2002,2970809,2970809.0
76 Aluminum And Articles Thereof,Thailand,2009,141818140,141818140.0
75 Nickel And Articles Thereof,Indonesia,2006,1051672,1051672.0
74 Copper And Articles Thereof,Vietnam,2004,238563,238563.0
74 Copper And Articles Thereof,Thailand,2002,36603315,36442090.0
75 Nickel And Articles Thereof,Hong Kong,2002,112136,112136.0
75 Nickel And Articles Thereof,Hong Kong,2010,136239,116325.0
74 Copper And Articles Thereof,Hong Kong,2010,4660825,4660825.0
75 Nickel And Articles Thereof,Indonesia,2004,345419,345419.0
76 Aluminum And Articles Thereof,Philippines,2003,2155312,2155312.0
75 Nickel And Articles Thereof,Japan,2004,21798120,21841078.0
75 Nickel And Articles Thereof,Taiwan,2008,10880296,10868673.0
80 Tin And Articles Thereof,Vietnam,2006,480292,480292.0
75 Nickel And Articles Thereof,Thailand,2006,38179,38179.0
74 Copper And Articles Thereof,Taiwan,2006,178443475,178389189.0
74 Copper And Articles Thereof,Burma,2001,4115,
80 Tin And Articles Thereof,Singapore,2004,424904,424904.0
75 Nickel And Articles Thereof,Malaysia,2009,252898,252898.0
76 Aluminum And Articles Thereof,Malaysia,2001,34233188,
74 Copper And Articles Thereof,Cambodia,2001,9600,
74 Copper And Articles Thereof,Singapore,2001,3014317,
74 Copper And Articles Thereof,Taiwan,2008,149102498,149069711.0
76 Aluminum And Articles Thereof,Macau,2008,74873,74873.0
74 Copper And Articles Thereof,Japan,2003,128482323,127826990.0
76 Aluminum And Articles Thereof,Vietnam,2002,524041,524041.0
80 Tin And Articles Thereof,Vietnam,2007,143376,143376.0
80 Tin And Articles Thereof,Japan,2001,334932,
80 Tin And Articles Thereof,Indonesia,2009,17832946,17832946.0
76 Aluminum And Articles Thereof,Malaysia,2010,18138857,18133574.0
74 Copper And Articles Thereof,Thailand,2010,56194275,56194275.0
76 Aluminum And Articles Thereof,Philippines,2010,2545941,2051929.0
74 Copper And Articles Thereof,Hong Kong,2007,6831745,6831745.0
80 Tin And Articles Thereof,Indonesia,2006,36660806,36660806.0
74 Copper And Articles Thereof,Singapore,2007,4649175,4649175.0
74 Copper And Articles Thereof,Taiwan,2009,92457052,92397608.0
75 Nickel And Articles Thereof,Taiwan,2010,13435345,13435345.0
76 Aluminum And Articles Thereof,Singapore,2003,4443478,4443478.0
75 Nickel And Articles Thereof,Thailand,2003,43432,43432.0
80 Tin And Articles Thereof,Singapore,2005,1552866,1552866.0
74 Copper And Articles Thereof,Thailand,2005,43235408,43165865.0
75 Nickel And Articles Thereof,Singapore,2007,2496551,2496551.0
74 Copper And Articles Thereof,Japan,2004,158363458,157312178.0
74 Copper And Articles Thereof,Philippines,2003,859560,859560.0
74 Copper And Articles Thereof,Malaysia,2006,108785788,99238342.0
75 Nickel And Articles Thereof,Malaysia,2002,56234,56234.0
80 Tin And Articles Thereof,"Korea, South",2009,2635280,2635280.0
76 Aluminum And Articles Thereof,Taiwan,2009,71173062,71030257.0
76 Aluminum And Articles Thereof,Taiwan,2004,90716696,90513728.0
74 Copper And Articles Thereof,Hong Kong,2009,3780945,3780945.0
76 Aluminum And Articles Thereof,Indonesia,2005,79121868,79121868.0
76 Aluminum And Articles Thereof,Japan,2001,176500200,
75 Nickel And Articles Thereof,Singapore,2008,5061935,5055458.0
75 Nickel And Articles Thereof,Thailand,2010,73117,73117.0
80 Tin And Articles Thereof,Malaysia,2003,2307704,3692306.0
74 Copper And Articles Thereof,Indonesia,2008,12421083,12421083.0
76 Aluminum And Articles Thereof,"Korea, South",2010,83456018,82947814.0
80 Tin And Articles Thereof,Vietnam,2003,348234,348234.0
76 Aluminum And Articles Thereof,Macau,2007,248143,248143.0
80 Tin And Articles Thereof,Vietnam,2005,178487,178487.0
76 Aluminum And Articles Thereof,Vietnam,2007,6052777,6052777.0
74 Copper And Articles Thereof,Thailand,2004,43754380,43743515.0
75 Nickel And Articles Thereof,Singapore,2005,1657764,1657764.0
80 Tin And Articles Thereof,Taiwan,2009,1954571,1954571.0
76 Aluminum And Articles Thereof,Macau,2005,52916,52916.0
75 Nickel And Articles Thereof,Philippines,2006,4921,4921.0
76 Aluminum And Articles Thereof,Singapore,2006,15947634,15939035.0
75 Nickel And Articles Thereof,Thailand,2008,129131,129131.0
74 Copper And Articles Thereof,Philippines,2008,4761069,4761069.0
76 Aluminum And Articles Thereof,"Korea, South",2007,109897931,109408021.0
76 Aluminum And Articles Thereof,Hong Kong,2003,32362427,32056835.0
75 Nickel And Articles Thereof,Japan,2006,44334570,44557831.0
80 Tin And Articles Thereof,Hong Kong,2003,1985662,1985662.0
80 Tin And Articles Thereof,Burma,2002,5227,5227.0
80 Tin And Articles Thereof,Malaysia,2008,35119611,35119611.0
80 Tin And Articles Thereof,Japan,2005,3434204,7568386.0
76 Aluminum And Articles Thereof,Philippines,2008,2492549,2492549.0
76 Aluminum And Articles Thereof,Japan,2010,159080258,120342712.0
80 Tin And Articles Thereof,Japan,2007,4075027,5922139.0
76 Aluminum And Articles Thereof,Thailand,2005,167697081,167656998.0
76 Aluminum And Articles Thereof,Taiwan,2001,69969203,
76 Aluminum And Articles Thereof,Philippines,2006,2351330,2351330.0
74 Copper And Articles Thereof,Hong Kong,2003,3054224,3230526.0
76 Aluminum And Articles Thereof,Taiwan,2008,116234083,115712699.0
74 Copper And Articles Thereof,Thailand,2007,63481921,63476762.0
74 Copper And Articles Thereof,"Korea, South",2006,126211433,126061694.0
80 Tin And Articles Thereof,Philippines,2009,135647,135647.0
80 Tin And Articles Thereof,Taiwan,2004,5056014,5056014.0
74 Copper And Articles Thereof,Malaysia,2003,19815427,19815427.0
76 Aluminum And Articles Thereof,Thailand,2002,113915666,113900545.0
74 Copper And Articles Thereof,Indonesia,2007,10982897,10982897.0
74 Copper And Articles Thereof,Cambodia,2007,2750,2750.0
74 Copper And Articles Thereof,Japan,2002,135139047,134595116.0
74 Copper And Articles Thereof,Taiwan,2002,152788649,152649373.0
76 Aluminum And Articles Thereof,Macau,2009,106746,106746.0
80 Tin And Articles Thereof,"Korea, South",2001,383883,
80 Tin And Articles Thereof,"Korea, South",2002,132115,132115.0
74 Copper And Articles Thereof,Singapore,2003,2326457,2181892.0
74 Copper And Articles Thereof,Taiwan,2010,131808904,131810157.0
80 Tin And Articles Thereof,Philippines,2006,623634,623634.0
80 Tin And Articles Thereof,Singapore,2002,195021,195021.0
75 Nickel And Articles Thereof,Philippines,2008,3806,3806.0
74 Copper And Articles Thereof,Thailand,2003,34226971,34226971.0
80 Tin And Articles Thereof,Philippines,2005,1537629,1537629.0
80 Tin And Articles Thereof,Macau,2007,11168,11168.0
74 Copper And Articles Thereof,Taiwan,2003,152960877,153261331.0
76 Aluminum And Articles Thereof,Indonesia,2007,139230819,139230819.0
76 Aluminum And Articles Thereof,Singapore,2005,8518037,8518037.0
74 Copper And Articles Thereof,Malaysia,2008,89894441,89901660.0
74 Copper And Articles Thereof,Hong Kong,2001,5752998,
80 Tin And Articles Thereof,Vietnam,2008,72407,72407.0
76 Aluminum And Articles Thereof,Indonesia,2002,29031393,28959261.0
74 Copper And Articles Thereof,Laos,2008,15170,15170.0
75 Nickel And Articles Thereof,Taiwan,2006,4973167,4973167.0
75 Nickel And Articles Thereof,Hong Kong,2008,61510,61510.0
76 Aluminum And Articles Thereof,Malaysia,2003,29444616,29416244.0
74 Copper And Articles Thereof,Cambodia,2005,3880,3880.0
80 Tin And Articles Thereof,Hong Kong,2002,2823588,2823588.0
75 Nickel And Articles Thereof,Hong Kong,2007,349041,349041.0
76 Aluminum And Articles Thereof,Hong Kong,2006,45783734,45768254.0
76 Aluminum And Articles Thereof,Indonesia,2009,46127531,46127531.0
75 Nickel And Articles Thereof,Singapore,2003,13089099,13089099.0
74 Copper And Articles Thereof,Hong Kong,2008,7271500,7271500.0
76 Aluminum And Articles Thereof,Taiwan,2010,98940902,98758583.0
80 Tin And Articles Thereof,Vietnam,2009,71358,71358.0
75 Nickel And Articles Thereof,Japan,2007,54312422,54662884.0
75 Nickel And Articles Thereof,"Korea, South",2009,15613058,15613058.0
80 Tin And Articles Thereof,Thailand,2004,7280950,7280950.0
74 Copper And Articles Thereof,Singapore,2006,5915363,5915363.0
76 Aluminum And Articles Thereof,Vietnam,2001,20318,
76 Aluminum And Articles Thereof,Vietnam,2005,2316693,2316693.0
76 Aluminum And Articles Thereof,Philippines,2007,1548933,1548933.0
74 Copper And Articles Thereof,Philippines,2005,5244737,5244737.0
75 Nickel And Articles Thereof,Japan,2008,39239390,39221294.0
80 Tin And Articles Thereof,Singapore,2001,760189,
76 Aluminum And Articles Thereof,"Korea, South",2002,81915003,81442648.0
80 Tin And Articles Thereof,Hong Kong,2007,3489100,3276545.0
76 Aluminum And Articles Thereof,Malaysia,2005,51260358,51260358.0
75 Nickel And Articles Thereof,Indonesia,2002,301387,301387.0
74 Copper And Articles Thereof,Hong Kong,2004,6503683,6503683.0
