Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons)
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2010","107017","107017","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2004","7971","7971","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2009","22829942","22829942","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2002","13177","13177","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2002","1919831","1919831","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2005","400751","400751","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2007","124100","124100","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2009","2490075","2490075","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2003","77980","77980","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2001","3197","","","","",""
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2001","258802","","","","",""
"3910 Silicones, In Primary Forms","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2009","763464","763464","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2004","1622596","1622596","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2001","19134","","","","",""
"3910 Silicones, In Primary Forms","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2002","368","368","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2003","10233093","10233093","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2007","2513004","2513004","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2008","41314","41314","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2003","1017099","1017099","","","",""
"3910 Silicones, In Primary Forms","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2005","29848","29848","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2006","43798823","43798823","","","",""
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2001","45098","","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2007","68075","68075","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2004","3758","3758","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2004","131606","131606","","","",""
"3910 Silicones, In Primary Forms","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2006","22381","22381","","","",""
"2504 Natural Graphite","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2001","184030","","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2006","42701","42701","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2002","41055","41055","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2010","186785","186785","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2003","4316520","4316520","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2001","68254608","","","","",""
"3910 Silicones, In Primary Forms","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2005","108256","108256","","","",""
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2008","126500","126500","","","",""
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2004","3016","3016","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2002","25032","25032","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2003","6846","6846","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2005","3875","3875","","","",""
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2004","59333","59333","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2008","3939","3939","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Japan","All Country Subcodes","All Rate Provisions","All Districts","2007","56957347","56957347","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Japan","All Country Subcodes","All Rate Provisions","All Districts","2004","20386246","20386246","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2006","576368","576368","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2003","161288","161288","","","",""
"2614 Titanium Ores And Concentrates","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2002","5140299","5140299","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2010","135211209","134867403","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2008","17035","17035","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2004","211889","211889","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2005","860355","860355","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2005","4096646","4096646","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2010","465845","465845","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2007","32376657","32376657","","","",""
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2006","11882781","11882781","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Japan","All Country Subcodes","All Rate Provisions","All Districts","2002","3416992","3416992","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2008","441051","441051","","","",""
"3910 Silicones, In Primary Forms","Japan","All Country Subcodes","All Rate Provisions","All Districts","2004","73710266","72687080","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2008","272789","272789","","","",""
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2010","2468725","2468725","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2010","5670","5670","","","",""
"2820 Manganese Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2010","16087746","16087746","","","",""
"2504 Natural Graphite","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2010","2400","2400","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2009","165625859","165625859","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2003","4988","4988","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2004","1972232","1856204","","","",""
"2614 Titanium Ores And Concentrates","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2003","35304","35304","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Japan","All Country Subcodes","All Rate Provisions","All Districts","2008","15450036","15450036","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2006","4600","4600","","","",""
"3910 Silicones, In Primary Forms","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2010","103040","103040","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2002","8722","8722","","","",""
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2005","445877","445877","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2006","379757","379757","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Mongolia","All Country Subcodes","All Rate Provisions","All Districts","2009","1405109","1405109","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2004","41576","41576","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2001","18770","","","","",""
"3910 Silicones, In Primary Forms","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2006","47377","47377","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2002","14473","14473","","","",""
"3910 Silicones, In Primary Forms","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2007","165880","165880","","","",""
"2504 Natural Graphite","Japan","All Country Subcodes","All Rate Provisions","All Districts","2010","2209407","2209407","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2008","16276072","16274644","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2007","408284","408284","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2001","194267","","","","",""
"2614 Titanium Ores And Concentrates","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2003","2889488","2889488","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2010","82092","82092","","","",""
"2820 Manganese Oxides","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2010","245100","245100","","","",""
"2614 Titanium Ores And Concentrates","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2008","2078762","2078762","","","",""
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2009","111233","111233","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2007","6457","6457","","","",""
"2504 Natural Graphite","Japan","All Country Subcodes","All Rate Provisions","All Districts","2001","3244218","","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2006","1247919","1247919","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2010","7307","7307","","","",""
"2820 Manganese Oxides","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2006","7511","7511","","","",""
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2007","1509691","1509691","","","",""
"2820 Manganese Oxides","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2010","36663","36663","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2006","1483927","1483927","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2008","361200","361200","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2005","1119318","1119318","","","",""
"2820 Manganese Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2001","975219","","","","",""
"2801 Fluorine, Chlorine, Bromine & Iodine","Japan","All Country Subcodes","All Rate Provisions","All Districts","2002","22696161","22696161","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Mongolia","All Country Subcodes","All Rate Provisions","All Districts","2008","316800","316800","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2002","515078","515078","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2006","761327","90139","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2008","204091","204091","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2010","297268","297268","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2006","313503","313503","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2005","167074","167074","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2010","21832","21832","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Japan","All Country Subcodes","All Rate Provisions","All Districts","2008","27876576","27876576","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2002","8960360","8960360","","","",""
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2010","163416","163416","","","",""
"2820 Manganese Oxides","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2009","79297","79297","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2007","268846","268846","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Japan","All Country Subcodes","All Rate Provisions","All Districts","2004","18201313","18201313","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2004","113938099","110307498","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2006","171323","171323","","","",""
"2504 Natural Graphite","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2008","6394","6394","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2004","1418796","1418796","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2001","18984447","","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2004","6400097","6400097","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2008","37940","37940","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2004","2512561","2512561","","","",""
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2001","61588","","","","",""
"3910 Silicones, In Primary Forms","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2006","1577094","1577094","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2008","4313956","4313956","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Japan","All Country Subcodes","All Rate Provisions","All Districts","2006","18871024","16246399","","","",""
"3910 Silicones, In Primary Forms","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2006","4913","4913","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2010","1093167","1093167","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2004","39914","39914","","","",""
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2005","30037","30037","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2006","3247772","3247772","","","",""
"2504 Natural Graphite","Japan","All Country Subcodes","All Rate Provisions","All Districts","2008","1502562","1502562","","","",""
"3910 Silicones, In Primary Forms","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2007","27205058","27205058","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2007","87560","87560","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2003","49212","49212","","","",""
"2820 Manganese Oxides","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2008","206150","206150","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2009","1195463","1195463","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2004","7546","7546","","","",""
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2001","26128","","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2006","10979","10979","","","",""
"3910 Silicones, In Primary Forms","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2009","287460","287460","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2003","131045","131045","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2002","4890","4890","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2010","5944620","5944620","","","",""
"2604 Nickel Ores And Concentrates","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2002","3200","3200","","","",""
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2010","201688","201688","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2006","2568","2568","","","",""
"2801 Fluorine, Chlorine, Bromine & Iodine","Japan","All Country Subcodes","All Rate Provisions","All Districts","2008","18393054","18393054","","","",""
"2504 Natural Graphite","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2010","8969","8969","","","",""
"3910 Silicones, In Primary Forms","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2007","232172","232172","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2001","40360","","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2007","15364290","14106150","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2007","33648779","33648779","","","",""
"3910 Silicones, In Primary Forms","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2004","128327","128327","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2008","89280","89280","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2002","855722","855722","","","",""
"2614 Titanium Ores And Concentrates","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2006","4301600","4301600","","","",""
"3910 Silicones, In Primary Forms","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2006","275388","275388","","","",""
"3910 Silicones, In Primary Forms","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2009","2340","2340","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2006","6900","6900","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2002","3486145","3486145","","","",""
"3910 Silicones, In Primary Forms","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2009","745188","745188","","","",""
"2504 Natural Graphite","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2001","2127","","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2007","261112","261112","","","",""
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2002","7113010","7115965","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2004","14616","14616","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2005","87398","87398","","","",""
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2003","11025","11025","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2006","4787252","4787252","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2006","1726555","1726555","","","",""
"2614 Titanium Ores And Concentrates","Japan","All Country Subcodes","All Rate Provisions","All Districts","2004","5034","5034","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2007","1093499","120506","","","",""
"3910 Silicones, In Primary Forms","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2008","4322","4322","","","",""
"2614 Titanium Ores And Concentrates","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2009","2920983","2920983","","","",""
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2010","6190","6190","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2003","2269","2269","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2007","6108826","6108826","","","",""
"3910 Silicones, In Primary Forms","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2008","2686538","2686538","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2007","161313566","161350585","","","",""
"3910 Silicones, In Primary Forms","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2010","171976","171976","","","",""
"2504 Natural Graphite","Japan","All Country Subcodes","All Rate Provisions","All Districts","2006","916690","916690","","","",""
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2003","88257","88257","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2009","5805007","5805007","","","",""
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2008","77674","77674","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Laos","All Country Subcodes","All Rate Provisions","All Districts","2010","46014","46014","","","",""
"2820 Manganese Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2004","4102608","4102608","","","",""
"2801 Fluorine, Chlorine, Bromine & Iodine","Japan","All Country Subcodes","All Rate Provisions","All Districts","2010","19129428","19129428","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2006","518476","518476","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Japan","All Country Subcodes","All Rate Provisions","All Districts","2008","37187801","37187801","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2001","2500","","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Macau","All Country Subcodes","All Rate Provisions","All Districts","2004","83799","83799","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2007","19501","19501","","","",""
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2001","2385968","","","","",""
"3910 Silicones, In Primary Forms","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2002","172605","172605","","","",""
"2820 Manganese Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2007","5078647","5078647","","","",""
"2820 Manganese Oxides","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2006","74516","74516","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2004","115900","115900","","","",""
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2004","14419","14419","","","",""
