Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons)
"80 Tin And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2006","4113010","3874102","","","",""
"75 Nickel And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2007","72461","72461","","","",""
"75 Nickel And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2005","64066","64066","","","",""
"75 Nickel And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2009","209067","209067","","","",""
"75 Nickel And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2002","427638","427638","","","",""
"74 Copper And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2009","1942412","1942412","","","",""
"75 Nickel And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2010","28699055","28699055","","","",""
"76 Aluminum And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2009","119104514","93774216","","","",""
"76 Aluminum And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2004","122256921","122227257","","","",""
"80 Tin And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2007","2584896","2584896","","","",""
"75 Nickel And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2003","196013","196013","","","",""
"80 Tin And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2002","4362418","4362418","","","",""
"76 Aluminum And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2006","116421043","116421043","","","",""
"76 Aluminum And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2007","33051815","33051815","","","",""
"76 Aluminum And Articles Thereof","Macau","All Country Subcodes","All Rate Provisions","All Districts","2006","10498","10498","","","",""
"74 Copper And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2009","96518358","96268259","","","",""
"75 Nickel And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2006","2310932","2310932","","","",""
"74 Copper And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2008","5793141","5793141","","","",""
"74 Copper And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2008","210791703","209698020","","","",""
"76 Aluminum And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2010","5885168","5885168","","","",""
"74 Copper And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2005","357628","357628","","","",""
"76 Aluminum And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2006","95836930","95245804","","","",""
"76 Aluminum And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2006","105715605","105360408","","","",""
"76 Aluminum And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2006","243241787","209089136","","","",""
"75 Nickel And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2003","124885","124885","","","",""
"80 Tin And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2003","10265573","10265573","","","",""
"80 Tin And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2003","56688","56688","","","",""
"74 Copper And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2009","3469222","3469222","","","",""
"80 Tin And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2010","289776","289776","","","",""
"76 Aluminum And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2008","232305293","180301962","","","",""
"74 Copper And Articles Thereof","Mongolia","All Country Subcodes","All Rate Provisions","All Districts","2007","29216","29216","","","",""
"80 Tin And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2001","1030743","","","","",""
"75 Nickel And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2004","77981","77981","","","",""
"74 Copper And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2006","5390530","5390530","","","",""
"76 Aluminum And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2003","216336396","182072019","","","",""
"80 Tin And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2005","3062394","3062394","","","",""
"74 Copper And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2001","5288065","","","","",""
"80 Tin And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2001","20612","","","","",""
"80 Tin And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2001","17642421","","","","",""
"75 Nickel And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2004","161177","161177","","","",""
"75 Nickel And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2006","287658","287658","","","",""
"80 Tin And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2008","2063965","2063965","","","",""
"80 Tin And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2003","2213420","9495482","","","",""
"76 Aluminum And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2005","3226865","3226865","","","",""
"76 Aluminum And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2003","76796687","76199214","","","",""
"75 Nickel And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2001","4392032","","","","",""
"75 Nickel And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2002","354915","354915","","","",""
"75 Nickel And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2002","2886423","1069271","","","",""
"74 Copper And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2002","4149764","4191762","","","",""
"80 Tin And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2005","124706","124706","","","",""
"74 Copper And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2003","4468782","4468782","","","",""
"76 Aluminum And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2003","1404678","1404678","","","",""
"76 Aluminum And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2002","2970809","2970809","","","",""
"76 Aluminum And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2009","141818140","141818140","","","",""
"75 Nickel And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2006","1051672","1051672","","","",""
"74 Copper And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2004","238563","238563","","","",""
"74 Copper And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2002","36603315","36442090","","","",""
"75 Nickel And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2002","112136","112136","","","",""
"75 Nickel And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2010","136239","116325","","","",""
"74 Copper And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2010","4660825","4660825","","","",""
"75 Nickel And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2004","345419","345419","","","",""
"76 Aluminum And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2003","2155312","2155312","","","",""
"75 Nickel And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2004","21798120","21841078","","","",""
"75 Nickel And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2008","10880296","10868673","","","",""
"80 Tin And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2006","480292","480292","","","",""
"75 Nickel And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2006","38179","38179","","","",""
"74 Copper And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2006","178443475","178389189","","","",""
"74 Copper And Articles Thereof","Burma","All Country Subcodes","All Rate Provisions","All Districts","2001","4115","","","","",""
