Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),HS_Code,CategoryType
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,Asia - South,2001,92140,,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2024,8382459,8382459.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2019,8682211,8682211.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,Asia - South,2005,12812,12812.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2006,5537338,5537338.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2018,12705660,12705660.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2017,13685511,13685511.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2004,7152704,7152704.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2013,18880528,18880528.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2003,2570976,2570976.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2023,2485470,2485470.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,Asia - South,2004,6546,6546.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2005,7557358,7557358.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,Asia - South,2024,99656,99656.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2025,6547756,6547756.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2001,3611541,,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2016,5466811,5466811.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2008,25938359,25938359.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2009,13179435,13179435.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2007,12813267,12813267.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,Asia - South,2007,4633,4633.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2012,7058472,7058472.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,Asia - South,2008,6045,6045.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2015,10483241,10483241.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2002,3575813,3575813.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2014,13482125,13482125.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2022,15085829,15085829.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2020,14121280,14121280.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2021,9674112,9674112.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,APEC - Asia Pacific Economic Co-operation,2011,35575561,35575561.0,2602,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,Asia - South,2023,239225,239225.0,2602,Ore/Raw
2603 Copper Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2002,5723332,5723332.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2024,257457,257457.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2001,57972384,,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2004,24656786,24656786.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2021,101450514,101450514.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2009,105249486,214845.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2025,322975,322975.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2010,80441664,1817664.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2023,34636986,34636986.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2006,187096,187096.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2007,16300100,184973.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2002,102910565,102910565.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2003,18029784,18029784.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,Asia - South,2022,185305,185305.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2005,460051,460051.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2022,122490327,122490327.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2008,103660114,1225503.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,Asia - South,2016,6560,6560.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2018,139043852,89795852.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2013,84116515,18092515.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2019,153002522,148466522.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2016,145287048,207048.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2015,74334105,1254105.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2020,42530096,8186096.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2014,88247236,515236.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2012,99182726,29522726.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2019,2556,2556.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2015,174400,174400.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2017,95273559,25721559.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2011,226228582,143332582.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2016,43973,43973.0,2603,Ore/Raw
2603 Copper Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2001,14201112,,2603,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2013,6088,6088.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2025,136168,136168.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2024,73394,73394.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2017,48482,48482.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2006,2904,2904.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2005,2700,2700.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2002,5608,5608.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2016,21476,21476.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2014,242191,242191.0,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2001,27827,,2604,Ore/Raw
2604 Nickel Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2018,114439,114439.0,2604,Ore/Raw
